R	53.3212	-8.60608	A714	07 Oct 2020	A714\n17:30 - Dublin Heuston to Galway (0 mins late)\nArrived Attymon next stop Athenry	To Galway
R	53.3223	-6.52356	D216	07 Oct 2020	D216\n19:05 - Dublin Heuston to Portlaoise (0 mins late)\nDeparted Hazelhatch next stop Sallins	To Portlaoise
R	53.3223	-6.52356	P419	07 Oct 2020	P419\n19:32 - Hazelhatch to Grand Canal Dock (0 mins late)\nDeparted Hazelhatch next stop Adamstown	Northbound
R	53.334	-6.37868	P218	07 Oct 2020	P218\n18:30 - Portlaoise to Dublin Heuston (2 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.3347	-6.22979	E940	07 Oct 2020	E940\n18:55 - Bray to Dublin Connolly (1 mins late)\nDeparted Lansdowne Road next stop Grand Canal Dock	Northbound
R	53.3397	-6.23773	E127	07 Oct 2020	E127\n19:00 - Howth to Greystones (0 mins late)\nArrived Grand Canal Dock next stop Lansdowne Road	Southbound
R	53.3509	-6.23929	D317	07 Oct 2020	D317\n19:30 - Docklands to M3 Parkway (1 mins late)\nDeparted Docklands next stop Broombridge	Northbound
R	53.3531	-6.24591	E839	07 Oct 2020	E839\n18:34 - Greystones to Malahide (0 mins late)\nDeparted Dublin Connolly next stop Clontarf Road	Northbound
R	53.3531	-6.24591	P418	07 Oct 2020	P418\n18:55 - Hazelhatch to Grand Canal Dock (2 mins late)\nDeparted Dublin Connolly next stop Tara Street	Northbound
R	53.3602	-7.79847	A808	07 Oct 2020	A808\n18:15 - Dublin Heuston to Westport (7 mins late)\nDeparted Clonydonnin next stop Athlone	To Westport
R	53.3629	-6.22753	D823	07 Oct 2020	D823\n19:23 - Dublin Pearse to Drogheda (0 mins late)\nDeparted Clontarf Road next stop Malahide	Northbound
R	53.3632	-6.25908	D419	07 Oct 2020	D419\n19:11 - Grand Canal Dock to Hazelhatch (1 mins late)\nDeparted Drumcondra next stop Park West and Cherry Orchard	Southbound
R	53.3632	-6.25908	P758	07 Oct 2020	P758\n19:00 - Maynooth to Dublin Connolly (1 mins late)\nDeparted Drumcondra next stop Dublin Connolly	Southbound
R	53.3725	-6.29869	P771	07 Oct 2020	P771\n19:10 - M3 Parkway to Dublin Connolly (2 mins late)\nDeparted Broombridge next stop Dublin Connolly	Southbound
R	53.373	-6.20442	E254	07 Oct 2020	E254\n19:10 - Malahide to Bray (5 mins late)\nDeparted Killester next stop Clontarf Road	Southbound
R	53.3743	-6.48624	P759	07 Oct 2020	P759\n19:20 - Maynooth to Dublin Connolly (1 mins late)\nDeparted Leixlip (Confey) next stop Clonsilla	Southbound
R	53.3786	-6.19131	E939	07 Oct 2020	E939\n18:35 - Bray to Howth (0 mins late)\nDeparted Harmonstown next stop Raheny	Northbound
R	53.3815	-6.17699	E255	07 Oct 2020	E255\n19:20 - Howth to Bray (1 mins late)\nArrived Raheny next stop Harmonstown	Southbound
R	53.3816	-6.37149	A914	07 Oct 2020	A914\n19:15 - Dublin Connolly to Sligo (1 mins late)\nDeparted Castleknock next stop Maynooth	Northbound
R	53.3831	-6.4242	D932	07 Oct 2020	D932\n19:00 - Dublin Pearse to Maynooth (3 mins late)\nArrived Clonsilla next stop Leixlip (Confey)	Northbound
R	53.3909	-6.15672	E838	07 Oct 2020	E838\n18:25 - Bray to Malahide (4 mins late)\nDeparted Howth Junction next stop Clongriffin	Northbound
R	53.4032	-6.14839	P623	07 Oct 2020	P623\n18:50 - Drogheda to Dublin Pearse (1 mins late)\nDeparted Clongriffin next stop Dublin Connolly	Southbound
R	53.4509	-6.15649	E128	07 Oct 2020	E128\n19:30 - Malahide to Greystones (2 mins late)\nDeparted Malahide next stop Portmarnock	Southbound
R	53.523	-7.34608	D928	07 Oct 2020	D928\n18:15 - Dublin Connolly to Longford (2 mins late)\nArrived Mullingar next stop Edgeworthstown	Northbound
R	53.6118	-6.18226	D822	07 Oct 2020	D822\n18:50 - Dublin Connolly to Drogheda (4 mins late)\nArrived Balbriggan next stop Laytown	Northbound
