R	53.3345	-6.43038	P419	07 Oct 2020	P419\n19:32 - Hazelhatch to Grand Canal Dock (0 mins late)\nDeparted Kishogue next stop Clondalkin	Northbound
R	53.3347	-6.22979	E840	07 Oct 2020	E840\n19:05 - Bray to Malahide (0 mins late)\nArrived Lansdowne Road next stop Grand Canal Dock	Northbound
R	53.3395	-7.61596	A716	07 Oct 2020	A716\n18:30 - Dublin Heuston to Galway (4 mins late)\nDeparted Clara next stop Athlone	To Galway
R	53.347	-6.25425	E940	07 Oct 2020	E940\n18:55 - Bray to Dublin Connolly (2 mins late)\nArrived Tara Street next stop Dublin Connolly	Northbound
R	53.3531	-6.24591	E254	07 Oct 2020	E254\n19:10 - Malahide to Bray (4 mins late)\nDeparted Dublin Connolly next stop Tara Street	Southbound
R	53.3632	-6.25908	D419	07 Oct 2020	D419\n19:11 - Grand Canal Dock to Hazelhatch (1 mins late)\nDeparted Drumcondra next stop Park West and Cherry Orchard	Southbound
R	53.3632	-6.25908	P771	07 Oct 2020	P771\n19:10 - M3 Parkway to Dublin Connolly (3 mins late)\nDeparted Drumcondra next stop Dublin Connolly	Southbound
R	53.3704	-6.50598	D932	07 Oct 2020	D932\n19:00 - Dublin Pearse to Maynooth (2 mins late)\nArrived Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.3725	-6.29869	D317	07 Oct 2020	D317\n19:30 - Docklands to M3 Parkway (2 mins late)\nDeparted Broombridge next stop Ashtown	Northbound
R	53.373	-6.20442	E255	07 Oct 2020	E255\n19:20 - Howth to Bray (3 mins late)\nDeparted Killester next stop Clontarf Road	Southbound
R	53.373	-6.20442	E839	07 Oct 2020	E839\n18:34 - Greystones to Malahide (1 mins late)\nArrived Killester next stop Harmonstown	Northbound
R	53.378	-6.58993	P677	07 Oct 2020	P677\n19:40 - Maynooth to Dublin Pearse (0 mins late)\nDeparted Maynooth next stop Leixlip (Louisa Bridge)	Southbound
R	53.3786	-6.19131	P623	07 Oct 2020	P623\n18:50 - Drogheda to Dublin Pearse (2 mins late)\nDeparted Harmonstown next stop Dublin Connolly	Southbound
R	53.3816	-6.37149	P759	07 Oct 2020	P759\n19:20 - Maynooth to Dublin Connolly (0 mins late)\nArrived Castleknock next stop Navan Road Parkway	Southbound
R	53.3831	-6.4242	A914	07 Oct 2020	A914\n19:15 - Dublin Connolly to Sligo (4 mins late)\nDeparted Clonsilla next stop Maynooth	Northbound
R	53.3909	-6.15672	D823	07 Oct 2020	D823\n19:23 - Dublin Pearse to Drogheda (1 mins late)\nArrived Howth Junction next stop Malahide	Northbound
R	53.3909	-6.15672	E128	07 Oct 2020	E128\n19:30 - Malahide to Greystones (1 mins late)\nArrived Howth Junction next stop Kilbarrack	Southbound
R	53.3909	-6.15672	E939	07 Oct 2020	E939\n18:35 - Bray to Howth (1 mins late)\nDeparted Howth Junction next stop Bayside	Northbound
R	53.3909	-6.15672	E939	07 Oct 2020	E939\n18:35 - Bray to Howth (1 mins late)\nDeparted Howth Junction next stop Bayside	Northbound
R	53.3909	-6.15672	E939	07 Oct 2020	E939\n18:35 - Bray to Howth (1 mins late)\nDeparted Howth Junction next stop Bayside	Northbound
R	53.3909	-6.15672	E939	07 Oct 2020	E939\n18:35 - Bray to Howth (1 mins late)\nDeparted Howth Junction next stop Bayside	Northbound
R	53.3909	-6.15672	E939	07 Oct 2020	E939\n18:35 - Bray to Howth (1 mins late)\nDeparted Howth Junction next stop Bayside	Northbound
R	53.3909	-6.15672	E939	07 Oct 2020	E939\n18:35 - Bray to Howth (1 mins late)\nDeparted Howth Junction next stop Bayside	Northbound
R	53.3909	-6.15672	E939	07 Oct 2020	E939\n18:35 - Bray to Howth (1 mins late)\nDeparted Howth Junction next stop Bayside	Northbound
